http://git-wip-us.apache.org/repos/asf/cassandra.git git:trunk
Fetching Cassandra updates...
Current cluster is now: trunk-long-column-names
INFO  18:43:57 Did not find Netty's native epoll transport in the classpath, defaulting to NIO.
INFO  18:43:58 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
INFO  18:43:58 New Cassandra host /127.0.0.1:9042 added
INFO  18:43:58 New Cassandra host /127.0.0.2:9042 added
INFO  18:43:58 New Cassandra host /127.0.0.3:9042 added
Connected to cluster: trunk-long-column-names
Datatacenter: datacenter1; Host: /127.0.0.1; Rack: rack1
Datatacenter: datacenter1; Host: /127.0.0.2; Rack: rack1
Datatacenter: datacenter1; Host: /127.0.0.3; Rack: rack1
Created keyspaces. Sleeping 3s for propagation.
Sleeping 2s...
Warming up WRITE with 150000 iterations...
Running WRITE with 5 threads for 500000 iteration
type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
total,        176345,    2558,    2558,    2558,     1.5,     1.1,     2.6,     9.8,    58.5,    69.0,   78.7,  0.01740,      0,      0,       0,       0,       0,       0
total,        178361,    2010,    2010,    2010,     2.1,     1.4,     5.7,    13.0,    41.9,    62.0,   79.7,  0.01725,      0,      0,       0,       0,       0,       0
total,        180349,    1969,    1969,    1969,     2.3,     1.5,     6.0,    12.0,    74.4,    74.7,   80.7,  0.01710,      0,      0,       0,       0,       0,       0
total,        182384,    2026,    2026,    2026,     2.2,     1.5,     4.8,    13.1,    75.6,    76.2,   81.7,  0.01699,      0,      0,       0,       0,       0,       0
total,        184847,    2453,    2453,    2453,     1.8,     1.2,     4.8,     9.3,    44.4,    49.1,   82.7,  0.01680,      0,      0,       0,       0,       0,       0
total,        187424,    2553,    2553,    2553,     1.7,     1.1,     4.0,    10.3,    75.1,    80.1,   83.7,  0.01669,      0,      0,       0,       0,       0,       0
total,        189599,    2156,    2156,    2156,     2.0,     1.2,     6.0,    13.3,    45.6,    48.1,   84.7,  0.01650,      0,      0,       0,       0,       0,       0
total,        191731,    2118,    2118,    2118,     2.1,     1.2,     4.6,    19.6,    69.3,    72.3,   85.7,  0.01632,      0,      0,       0,       0,       0,       0
total,        194295,    2556,    2556,    2556,     1.7,     1.2,     4.6,     9.6,    18.4,    20.1,   86.7,  0.01615,      0,      0,       0,       0,       0,       0
total,        196555,    1952,    1952,    1952,     2.4,     1.3,     4.5,    13.0,   159.4,   161.0,   87.9,  0.01598,      0,      0,       0,       0,       0,       0
