http://git-wip-us.apache.org/repos/asf/cassandra.git git:trunk
Fetching Cassandra updates...
Current cluster is now: trunk-long-column-names
INFO  18:43:57 Did not find Netty's native epoll transport in the classpath, defaulting to NIO.
INFO  18:43:58 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
INFO  18:43:58 New Cassandra host /127.0.0.1:9042 added
INFO  18:43:58 New Cassandra host /127.0.0.2:9042 added
INFO  18:43:58 New Cassandra host /127.0.0.3:9042 added
Connected to cluster: trunk-long-column-names
Datatacenter: datacenter1; Host: /127.0.0.1; Rack: rack1
Datatacenter: datacenter1; Host: /127.0.0.2; Rack: rack1
Datatacenter: datacenter1; Host: /127.0.0.3; Rack: rack1
Created keyspaces. Sleeping 3s for propagation.
Sleeping 2s...
Warming up WRITE with 150000 iterations...
Running WRITE with 5 threads for 500000 iteration
type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
total,        186197,     480,     480,     480,     7.0,     3.0,    32.3,    54.0,    66.5,    66.5,  346.2,  0.00640,      0,      0,       0,       0,       0,       0
total,        186703,     517,     517,     517,     6.0,     2.9,    29.3,    47.0,    74.2,    74.2,  347.2,  0.00639,      0,      0,       0,       0,       0,       0
total,        187236,     511,     511,     511,     7.4,     3.2,    40.2,    67.9,    78.1,    78.1,  348.2,  0.00637,      0,      0,       0,       0,       0,       0
total,        187698,     442,     442,     442,     7.1,     2.8,    34.5,    62.1,    68.7,    68.7,  349.2,  0.00638,      0,      0,       0,       0,       0,       0
total,        188222,     519,     519,     519,     6.9,     3.4,    33.7,    53.9,    68.7,    68.7,  350.2,  0.00637,      0,      0,       0,       0,       0,       0
total,        188792,     567,     567,     567,     5.7,     2.9,    21.6,    47.5,    53.0,    53.0,  351.3,  0.00635,      0,      0,       0,       0,       0,       0
total,        189374,     575,     575,     575,     6.2,     3.0,    27.2,    47.7,    69.8,    69.8,  352.3,  0.00633,      0,      0,       0,       0,       0,       0
total,        189964,     582,     582,     582,     5.9,     2.9,    30.9,    54.7,    83.2,    83.2,  353.3,  0.00631,      0,      0,       0,       0,       0,       0
total,        190561,     594,     594,     594,     5.4,     3.0,    18.9,    51.1,    55.8,    55.8,  354.3,  0.00630,      0,      0,       0,       0,       0,       0
total,        191146,     559,     559,     559,     5.9,     2.8,    24.0,    47.6,    59.3,    59.3,  355.3,  0.00628,      0,      0,       0,       0,       0,       0
total,        191634,     480,     480,     480,     7.4,     3.2,    34.3,    77.6,    87.2,    87.2,  356.3,  0.00627,      0,      0,       0,       0,       0,       0
total,        192147,     510,     510,     510,     6.9,     3.2,    31.1,    54.5,    69.4,    69.4,  357.4,  0.00625,      0,      0,       0,       0,       0,       0
total,        192716,     601,     601,     601,     5.1,     2.5,    14.6,    54.1,    75.8,    75.8,  358.3,  0.00624,      0,      0,       0,       0,       0,       0
total,        193163,     400,     400,     400,     9.2,     3.1,    39.5,   115.8,   190.6,   190.6,  359.4,  0.00627,      0,      0,       0,       0,       0,       0
total,        193739,     570,     570,     570,     6.5,     2.9,    30.1,    55.7,    60.6,    60.6,  360.4,  0.00625,      0,      0,       0,       0,       0,       0
total,        194321,     576,     576,     576,     5.7,     2.8,    22.7,    46.3,    88.3,    88.3,  361.4,  0.00624,      0,      0,       0,       0,       0,       0
total,        194844,     516,     516,     516,     6.8,     2.8,    36.7,    49.2,    58.2,    58.2,  362.5,  0.00622,      0,      0,       0,       0,       0,       0
total,        195354,     500,     500,     500,     6.3,     2.9,    29.7,    55.8,   106.3,   106.3,  363.5,  0.00621,      0,      0,       0,       0,       0,       0
total,        195914,     536,     536,     536,     6.4,     3.1,    27.8,    53.3,    85.2,    85.2,  364.5,  0.00619,      0,      0,       0,       0,       0,       0
total,        196505,     570,     570,     570,     5.8,     2.9,    20.1,    58.4,    68.2,    68.2,  365.6,  0.00618,      0,      0,       0,       0,       0,       0
total,        197019,     518,     518,     518,     6.8,     3.2,    29.4,    45.7,    68.0,    68.0,  366.5,  0.00616,      0,      0,       0,       0,       0,       0
total,        197435,     389,     389,     389,     9.2,     4.5,    43.0,    91.2,   117.1,   117.1,  367.6,  0.00620,      0,      0,       0,       0,       0,       0
total,        197881,     435,     435,     435,     8.5,     3.6,    40.7,    59.4,    81.9,    81.9,  368.6,  0.00621,      0,      0,       0,       0,       0,       0
total,        198270,     395,     395,     395,     8.5,     3.3,    42.1,    91.9,   110.7,   110.7,  369.6,  0.00625,      0,      0,       0,       0,       0,       0
total,        198791,     495,     495,     495,     7.9,     4.4,    26.4,    58.9,   146.2,   146.2,  370.7,  0.00624,      0,      0,       0,       0,       0,       0
total,        199313,     513,     513,     513,     6.8,     3.4,    21.4,    64.4,    90.8,    90.8,  371.7,  0.00622,      0,      0,       0,       0,       0,       0
total,        199785,     465,     465,     465,     8.8,     4.2,    43.4,    73.1,    86.0,    86.0,  372.7,  0.00622,      0,      0,       0,       0,       0,       0
total,        200348,     553,     553,     553,     6.1,     3.0,    20.3,    58.0,    72.4,    72.4,  373.7,  0.00620,      0,      0,       0,       0,       0,       0
total,        200876,     514,     514,     514,     6.4,     2.8,    33.8,    53.0,    73.5,    73.5,  374.8,  0.00619,      0,      0,       0,       0,       0,       0
total,        201490,     609,     609,     609,     5.7,     2.8,    27.3,    47.6,    57.0,    57.0,  375.8,  0.00618,      0,      0,       0,       0,       0,       0
total,        201999,     504,     504,     504,     5.6,     2.5,    26.0,    47.7,    57.4,    57.4,  376.8,  0.00617,      0,      0,       0,       0,       0,       0
total,        202564,     540,     540,     540,     6.8,     3.4,    26.9,    57.7,    86.2,    86.2,  377.8,  0.00615,      0,      0,       0,       0,       0,       0
total,        203127,     563,     563,     563,     5.4,     2.8,    16.4,    54.1,    76.2,    76.2,  378.8,  0.00614,      0,      0,       0,       0,       0,       0
total,        203720,     573,     573,     573,     5.4,     2.5,    19.5,    46.3,    65.8,    65.8,  379.9,  0.00612,      0,      0,       0,       0,       0,       0
total,        204297,     576,     576,     576,     6.1,     3.1,    26.9,    46.4,    61.5,    61.5,  380.9,  0.00611,      0,      0,       0,       0,       0,       0
total,        204892,     562,     562,     562,     6.1,     2.8,    28.2,    49.2,    57.6,    57.6,  381.9,  0.00609,      0,      0,       0,       0,       0,       0
total,        205424,     527,     527,     527,     6.5,     2.9,    32.0,    53.4,    83.2,    83.2,  382.9,  0.00607,      0,      0,       0,       0,       0,       0
total,        205899,     405,     405,     405,     9.5,     3.1,    31.2,   162.1,   169.7,   169.7,  384.1,  0.00607,      0,      0,       0,       0,       0,       0
total,        206415,     511,     511,     511,     6.4,     2.7,    27.1,    61.7,    90.2,    90.2,  385.1,  0.00605,      0,      0,       0,       0,       0,       0
total,        207074,     627,     627,     627,     5.6,     2.6,    24.6,    55.1,    87.7,    87.7,  386.2,  0.00605,      0,      0,       0,       0,       0,       0
total,        207582,     496,     496,     496,     7.4,     3.1,    36.0,    56.4,    87.3,    87.3,  387.2,  0.00604,      0,      0,       0,       0,       0,       0
total,        208073,     469,     469,     469,     7.6,     3.5,    34.2,    59.8,    64.9,    64.9,  388.2,  0.00604,      0,      0,       0,       0,       0,       0
total,        208544,     465,     465,     465,     7.0,     3.4,    34.3,    41.6,    54.2,    54.2,  389.2,  0.00604,      0,      0,       0,       0,       0,       0
total,        209196,     647,     647,     647,     5.6,     3.0,    19.5,    62.6,    75.8,    75.8,  390.2,  0.00604,      0,      0,       0,       0,       0,       0
total,        209701,     499,     499,     499,     6.2,     2.7,    27.5,    52.6,    70.7,    70.7,  391.3,  0.00602,      0,      0,       0,       0,       0,       0
total,        210252,     533,     533,     533,     7.0,     3.4,    34.5,    57.6,    86.6,    86.6,  392.3,  0.00601,      0,      0,       0,       0,       0,       0
total,        210831,     566,     566,     566,     5.7,     3.0,    21.7,    45.2,    66.1,    66.1,  393.3,  0.00599,      0,      0,       0,       0,       0,       0
total,        211384,     534,     534,     534,     7.1,     3.4,    32.4,    56.4,    65.2,    65.2,  394.4,  0.00598,      0,      0,       0,       0,       0,       0
total,        211923,     527,     527,     527,     6.6,     3.0,    27.0,    47.5,    82.6,    82.6,  395.4,  0.00596,      0,      0,       0,       0,       0,       0
total,        212443,     518,     518,     518,     6.9,     3.0,    34.6,    46.6,    52.0,    52.0,  396.4,  0.00595,      0,      0,       0,       0,       0,       0
total,        212933,     467,     467,     467,     7.4,     3.1,    28.7,    65.1,   112.0,   112.0,  397.4,  0.00595,      0,      0,       0,       0,       0,       0
total,        213440,     497,     497,     497,     7.3,     3.2,    29.7,    69.2,    93.0,    93.0,  398.4,  0.00594,      0,      0,       0,       0,       0,       0
total,        213852,     405,     405,     405,     8.0,     3.0,    43.0,    64.4,   118.4,   118.4,  399.5,  0.00596,      0,      0,       0,       0,       0,       0
total,        214324,     468,     468,     468,     7.1,     3.4,    26.5,    62.8,    91.6,    91.6,  400.5,  0.00596,      0,      0,       0,       0,       0,       0
total,        214787,     441,     441,     441,     8.5,     3.5,    39.5,    64.6,    76.5,    76.5,  401.5,  0.00597,      0,      0,       0,       0,       0,       0
total,        215335,     536,     536,     536,     6.2,     3.3,    23.4,    57.8,    72.6,    72.6,  402.5,  0.00595,      0,      0,       0,       0,       0,       0
total,        215888,     543,     543,     543,     6.7,     3.5,    30.7,    57.7,    81.7,    81.7,  403.6,  0.00594,      0,      0,       0,       0,       0,       0
total,        216437,     540,     540,     540,     5.7,     3.0,    20.0,    48.8,    80.9,    80.9,  404.6,  0.00592,      0,      0,       0,       0,       0,       0
total,        216838,     398,     398,     398,     8.1,     4.2,    28.7,    58.5,    74.4,    74.4,  405.6,  0.00595,      0,      0,       0,       0,       0,       0
total,        217354,     498,     498,     498,     7.8,     2.7,    36.1,    95.7,   110.1,   110.1,  406.6,  0.00594,      0,      0,       0,       0,       0,       0
total,        218000,     625,     625,     625,     5.6,     2.3,    23.5,    81.5,   118.9,   118.9,  407.7,  0.00596,      0,      0,       0,       0,       0,       0
total,        218551,     534,     534,     534,     6.3,     2.9,    33.6,    49.7,    60.3,    60.3,  408.7,  0.00595,      0,      0,       0,       0,       0,       0
total,        219039,     482,     482,     482,     7.3,     3.2,    36.8,    48.8,    73.2,    73.2,  409.7,  0.00594,      0,      0,       0,       0,       0,       0
total,        219613,     554,     554,     554,     6.3,     2.8,    26.4,    60.4,    69.9,    69.9,  410.7,  0.00593,      0,      0,       0,       0,       0,       0
total,        220086,     470,     470,     470,     7.0,     3.1,    34.8,    61.6,    72.1,    72.1,  411.7,  0.00592,      0,      0,       0,       0,       0,       0
total,        220523,     430,     430,     430,     7.9,     2.7,    42.0,    65.0,    74.0,    74.0,  412.8,  0.00592,      0,      0,       0,       0,       0,       0
total,        221024,     492,     492,     492,     6.7,     2.7,    35.3,    61.5,    77.4,    77.4,  413.8,  0.00590,      0,      0,       0,       0,       0,       0
total,        221586,     559,     559,     559,     5.7,     3.0,    18.8,    57.0,    68.1,    68.1,  414.8,  0.00589,      0,      0,       0,       0,       0,       0
total,        222151,     554,     554,     554,     6.4,     3.0,    25.9,    59.4,    76.1,    76.1,  415.8,  0.00588,      0,      0,       0,       0,       0,       0
total,        222725,     573,     573,     573,     6.0,     3.1,    29.6,    42.9,    70.0,    70.0,  416.8,  0.00586,      0,      0,       0,       0,       0,       0
total,        223286,     543,     543,     543,     5.8,     2.5,    24.7,    57.4,    59.4,    59.4,  417.8,  0.00585,      0,      0,       0,       0,       0,       0
total,        223845,     530,     530,     530,     6.9,     3.4,    35.0,    53.4,    64.0,    64.0,  418.9,  0.00583,      0,      0,       0,       0,       0,       0
total,        224406,     557,     557,     557,     7.2,     3.2,    34.6,    55.1,    77.0,    77.0,  419.9,  0.00582,      0,      0,       0,       0,       0,       0
total,        224912,     499,     499,     499,     6.8,     3.0,    32.8,    53.8,    69.2,    69.2,  420.9,  0.00581,      0,      0,       0,       0,       0,       0
total,        225437,     500,     500,     500,     7.1,     3.0,    32.8,    60.4,    67.1,    67.1,  422.0,  0.00580,      0,      0,       0,       0,       0,       0
total,        225979,     534,     534,     534,     6.0,     3.0,    29.3,    52.7,    62.3,    62.3,  423.0,  0.00578,      0,      0,       0,       0,       0,       0
total,        226548,     565,     565,     565,     6.3,     2.8,    21.0,    47.6,   168.2,   168.2,  424.0,  0.00577,      0,      0,       0,       0,       0,       0
total,        227127,     571,     571,     571,     6.4,     3.6,    28.1,    46.3,    72.7,    72.7,  425.0,  0.00576,      0,      0,       0,       0,       0,       0
total,        227691,     557,     557,     557,     6.7,     3.3,    30.8,    63.3,    69.1,    69.1,  426.0,  0.00574,      0,      0,       0,       0,       0,       0
total,        228094,     381,     381,     381,     9.4,     3.8,    41.3,    69.4,    77.9,    77.9,  427.1,  0.00578,      0,      0,       0,       0,       0,       0
total,        228576,     472,     472,     472,     7.9,     3.9,    34.8,    79.4,    82.6,    82.6,  428.1,  0.00577,      0,      0,       0,       0,       0,       0
total,        229016,     460,     460,     460,     6.5,     2.7,    28.5,    63.9,    87.3,    87.3,  429.1,  0.00577,      0,      0,       0,       0,       0,       0
total,        229493,     439,     439,     439,     6.7,     2.9,    30.7,    76.9,    90.0,    90.0,  430.1,  0.00578,      0,      0,       0,       0,       0,       0
total,        229941,     445,     445,     445,     7.8,     2.9,    33.0,    89.3,   120.7,   120.7,  431.1,  0.00577,      0,      0,       0,       0,       0,       0
total,        230453,     486,     486,     486,     7.8,     3.6,    37.2,    56.8,    67.4,    67.4,  432.2,  0.00576,      0,      0,       0,       0,       0,       0
total,        230994,     523,     523,     523,     7.4,     3.2,    35.7,    64.8,    86.9,    86.9,  433.2,  0.00575,      0,      0,       0,       0,       0,       0
total,        231507,     507,     507,     507,     7.3,     2.9,    29.1,    66.1,   125.2,   125.2,  434.2,  0.00574,      0,      0,       0,       0,       0,       0
total,        231963,     454,     454,     454,     8.3,     2.5,    31.6,   159.2,   170.8,   170.8,  435.3,  0.00574,      0,      0,       0,       0,       0,       0
total,        232507,     531,     531,     531,     6.7,     3.1,    32.2,    54.7,   111.9,   111.9,  436.3,  0.00573,      0,      0,       0,       0,       0,       0
total,        233082,     571,     571,     571,     6.2,     2.7,    33.7,    50.5,    71.5,    71.5,  437.3,  0.00571,      0,      0,       0,       0,       0,       0
total,        233645,     541,     541,     541,     5.7,     2.7,    26.4,    50.2,    61.2,    61.2,  438.3,  0.00570,      0,      0,       0,       0,       0,       0
total,        234164,     512,     512,     512,     6.6,     2.8,    33.1,    55.6,    67.4,    67.4,  439.3,  0.00569,      0,      0,       0,       0,       0,       0
total,        234746,     573,     573,     573,     6.1,     3.1,    22.1,    53.6,    88.1,    88.1,  440.4,  0.00568,      0,      0,       0,       0,       0,       0
total,        235364,     611,     611,     611,     5.6,     3.0,    23.9,    44.3,    82.6,    82.6,  441.4,  0.00567,      0,      0,       0,       0,       0,       0
total,        235916,     543,     543,     543,     6.3,     3.0,    25.5,    53.8,    75.0,    75.0,  442.4,  0.00566,      0,      0,       0,       0,       0,       0
total,        236451,     525,     525,     525,     6.7,     3.2,    30.8,    47.1,    68.4,    68.4,  443.4,  0.00564,      0,      0,       0,       0,       0,       0
total,        237090,     627,     627,     627,     5.9,     3.0,    22.6,    47.5,    79.6,    79.6,  444.4,  0.00564,      0,      0,       0,       0,       0,       0
total,        237624,     527,     527,     527,     6.9,     3.4,    30.5,    53.4,    62.6,    62.6,  445.4,  0.00563,      0,      0,       0,       0,       0,       0
total,        238125,     473,     473,     473,     8.1,     3.7,    39.5,    63.3,    95.6,    95.6,  446.5,  0.00562,      0,      0,       0,       0,       0,       0
total,        238624,     490,     490,     490,     8.0,     3.4,    37.9,    67.8,    78.2,    78.2,  447.5,  0.00562,      0,      0,       0,       0,       0,       0
total,        239215,     585,     585,     585,     5.9,     2.9,    30.1,    42.2,    69.0,    69.0,  448.5,  0.00561,      0,      0,       0,       0,       0,       0
total,        239756,     538,     538,     538,     6.6,     3.1,    27.1,    45.6,    73.7,    73.7,  449.5,  0.00559,      0,      0,       0,       0,       0,       0
total,        240259,     480,     480,     480,     7.6,     3.5,    39.2,    56.3,    81.4,    81.4,  450.6,  0.00559,      0,      0,       0,       0,       0,       0
total,        240790,     533,     533,     533,     6.5,     3.6,    23.3,    52.5,    67.1,    67.1,  451.6,  0.00558,      0,      0,       0,       0,       0,       0
total,        241374,     569,     569,     569,     6.1,     3.0,    27.2,    44.4,    67.9,    67.9,  452.6,  0.00556,      0,      0,       0,       0,       0,       0
total,        241942,     538,     538,     538,     7.2,     3.6,    27.9,    57.3,    95.1,    95.1,  453.6,  0.00555,      0,      0,       0,       0,       0,       0
total,        242547,     585,     585,     585,     6.0,     2.9,    27.9,    55.6,    65.5,    65.5,  454.7,  0.00554,      0,      0,       0,       0,       0,       0
total,        242974,     469,     469,     469,     6.5,     3.1,    29.8,    49.4,    71.2,    71.2,  455.6,  0.00554,      0,      0,       0,       0,       0,       0
total,        243588,     522,     522,     522,     6.9,     3.0,    24.7,    58.9,   194.1,   194.1,  456.8,  0.00553,      0,      0,       0,       0,       0,       0
total,        244102,     508,     508,     508,     6.7,     2.9,    33.4,    60.7,    78.2,    78.2,  457.8,  0.00551,      0,      0,       0,       0,       0,       0
total,        244719,     596,     596,     596,     5.3,     2.7,    23.2,    41.9,    59.2,    59.2,  458.8,  0.00551,      0,      0,       0,       0,       0,       0
total,        245289,     561,     561,     561,     6.4,     3.0,    27.1,    53.9,    64.7,    64.7,  459.8,  0.00549,      0,      0,       0,       0,       0,       0
total,        245877,     576,     576,     576,     6.5,     3.5,    24.6,    47.3,    76.7,    76.7,  460.9,  0.00548,      0,      0,       0,       0,       0,       0
total,        246446,     554,     554,     554,     6.2,     3.2,    24.1,    49.8,    79.0,    79.0,  461.9,  0.00547,      0,      0,       0,       0,       0,       0
total,        246958,     510,     510,     510,     6.7,     2.9,    29.3,    53.7,    79.9,    79.9,  462.9,  0.00546,      0,      0,       0,       0,       0,       0
total,        247467,     489,     489,     489,     7.4,     3.2,    34.8,    59.6,    73.1,    73.1,  463.9,  0.00546,      0,      0,       0,       0,       0,       0
total,        248076,     603,     603,     603,     5.7,     3.3,    23.7,    40.8,    56.5,    56.5,  464.9,  0.00545,      0,      0,       0,       0,       0,       0
total,        248607,     527,     527,     527,     6.2,     3.5,    18.7,    51.5,    81.7,    81.7,  465.9,  0.00544,      0,      0,       0,       0,       0,       0
total,        249011,     388,     388,     388,     9.4,     4.6,    44.7,    73.4,   101.5,   101.5,  467.0,  0.00546,      0,      0,       0,       0,       0,       0
total,        249481,     442,     442,     442,     7.4,     3.2,    36.0,    64.8,    72.3,    72.3,  468.0,  0.00547,      0,      0,       0,       0,       0,       0
total,        249874,     388,     388,     388,     9.4,     3.7,    45.1,    93.9,    96.0,    96.0,  469.1,  0.00549,      0,      0,       0,       0,       0,       0
total,        250379,     486,     486,     486,     6.8,     3.5,    23.9,    50.6,    61.2,    61.2,  470.1,  0.00549,      0,      0,       0,       0,       0,       0
total,        250900,     516,     516,     516,     6.9,     3.3,    28.3,    56.6,    64.1,    64.1,  471.1,  0.00548,      0,      0,       0,       0,       0,       0
total,        251348,     438,     438,     438,     7.6,     3.7,    34.9,    95.7,   114.1,   114.1,  472.1,  0.00548,      0,      0,       0,       0,       0,       0
total,        251789,     437,     437,     437,     8.2,     3.6,    36.1,    66.7,   127.1,   127.1,  473.1,  0.00549,      0,      0,       0,       0,       0,       0
total,        252317,     515,     515,     515,     6.0,     3.0,    18.6,    62.3,    97.0,    97.0,  474.2,  0.00548,      0,      0,       0,       0,       0,       0
total,        252851,     525,     525,     525,     6.9,     3.7,    21.1,    63.7,    78.8,    78.8,  475.2,  0.00547,      0,      0,       0,       0,       0,       0
total,        253325,     469,     469,     469,     7.4,     3.3,    36.9,    57.2,    83.8,    83.8,  476.2,  0.00546,      0,      0,       0,       0,       0,       0
total,        253749,     417,     417,     417,     7.9,     3.5,    34.9,    60.4,    86.8,    86.8,  477.2,  0.00548,      0,      0,       0,       0,       0,       0
total,        254260,     510,     510,     510,     7.6,     3.8,    26.2,    73.5,    91.8,    91.8,  478.2,  0.00547,      0,      0,       0,       0,       0,       0
total,        254721,     445,     445,     445,     7.4,     3.3,    37.4,    76.3,    88.5,    88.5,  479.2,  0.00547,      0,      0,       0,       0,       0,       0
total,        255174,     450,     450,     450,     7.5,     3.4,    41.4,    64.7,    90.6,    90.6,  480.3,  0.00547,      0,      0,       0,       0,       0,       0
total,        255637,     439,     439,     439,     7.3,     3.3,    36.8,    54.6,    77.3,    77.3,  481.3,  0.00548,      0,      0,       0,       0,       0,       0
total,        256128,     477,     477,     477,     7.4,     3.8,    34.5,    62.9,    76.1,    76.1,  482.3,  0.00547,      0,      0,       0,       0,       0,       0
total,        256591,     457,     457,     457,     7.6,     3.5,    34.9,    67.3,    71.2,    71.2,  483.4,  0.00547,      0,      0,       0,       0,       0,       0
total,        257058,     444,     444,     444,     7.9,     3.7,    37.1,    61.4,    84.1,    84.1,  484.4,  0.00547,      0,      0,       0,       0,       0,       0
total,        257515,     444,     444,     444,     7.1,     3.1,    34.1,    58.2,    82.6,    82.6,  485.4,  0.00548,      0,      0,       0,       0,       0,       0
total,        257972,     447,     447,     447,     8.1,     3.6,    35.9,    68.6,    74.9,    74.9,  486.5,  0.00548,      0,      0,       0,       0,       0,       0
total,        258345,     365,     365,     365,     9.8,     3.8,    54.1,    87.5,   177.5,   177.5,  487.5,  0.00551,      0,      0,       0,       0,       0,       0
total,        258760,     412,     412,     412,     8.8,     3.6,    40.1,    95.8,   115.3,   115.3,  488.5,  0.00551,      0,      0,       0,       0,       0,       0
total,        259258,     492,     492,     492,     7.2,     3.5,    31.2,    63.6,    72.2,    72.2,  489.5,  0.00550,      0,      0,       0,       0,       0,       0
total,        259823,     559,     559,     559,     6.1,     3.2,    23.3,    48.5,    67.3,    67.3,  490.5,  0.00549,      0,      0,       0,       0,       0,       0
total,        260339,     498,     498,     498,     7.9,     3.7,    33.1,    68.4,    96.6,    96.6,  491.5,  0.00548,      0,      0,       0,       0,       0,       0
total,        260944,     586,     586,     586,     6.2,     3.5,    22.6,    42.4,    78.0,    78.0,  492.6,  0.00547,      0,      0,       0,       0,       0,       0
total,        261498,     531,     531,     531,     7.1,     3.8,    35.2,    51.8,    53.8,    53.8,  493.6,  0.00546,      0,      0,       0,       0,       0,       0
total,        261940,     438,     438,     438,     8.3,     3.4,    41.4,    67.1,    79.0,    79.0,  494.6,  0.00547,      0,      0,       0,       0,       0,       0
total,        262506,     560,     560,     560,     6.6,     3.1,    29.2,    52.7,    59.1,    59.1,  495.6,  0.00546,      0,      0,       0,       0,       0,       0
total,        263045,     584,     584,     584,     6.3,     3.5,    19.4,    68.9,    87.5,    87.5,  496.6,  0.00545,      0,      0,       0,       0,       0,       0
total,        263703,     584,     584,     584,     6.0,     2.4,    25.5,    64.7,   191.8,   191.8,  497.7,  0.00545,      0,      0,       0,       0,       0,       0
total,        264149,     442,     442,     442,     5.9,     2.2,    24.2,    63.8,    73.6,    73.6,  498.7,  0.00545,      0,      0,       0,       0,       0,       0
total,        264670,     487,     487,     487,     7.1,     3.7,    30.1,    59.8,    86.5,    86.5,  499.8,  0.00544,      0,      0,       0,       0,       0,       0
total,        265110,     406,     406,     406,     8.5,     3.2,    39.0,    97.0,   106.1,   106.1,  500.9,  0.00544,      0,      0,       0,       0,       0,       0
total,        265582,     468,     468,     468,     7.3,     3.7,    31.9,    63.1,    75.7,    75.7,  501.9,  0.00543,      0,      0,       0,       0,       0,       0
total,        266039,     454,     454,     454,     6.8,     2.9,    32.4,    57.0,    60.1,    60.1,  502.9,  0.00543,      0,      0,       0,       0,       0,       0
total,        266501,     457,     457,     457,     7.3,     3.0,    31.8,    74.3,    94.0,    94.0,  503.9,  0.00543,      0,      0,       0,       0,       0,       0
total,        266870,     370,     370,     370,     7.0,     2.7,    28.4,    68.4,   215.0,   215.0,  504.9,  0.00546,      0,      0,       0,       0,       0,       0
total,        267418,     524,     524,     524,     7.4,     3.5,    38.3,    55.5,    63.0,    63.0,  505.9,  0.00545,      0,      0,       0,       0,       0,       0
total,        268029,     608,     608,     608,     5.8,     2.9,    27.0,    43.6,    61.3,    61.3,  506.9,  0.00544,      0,      0,       0,       0,       0,       0
total,        268511,     479,     479,     479,     6.9,     3.3,    32.1,    58.0,    82.9,    82.9,  507.9,  0.00543,      0,      0,       0,       0,       0,       0
total,        269092,     575,     575,     575,     6.2,     2.8,    27.4,    44.7,    62.3,    62.3,  508.9,  0.00542,      0,      0,       0,       0,       0,       0
total,        269658,     563,     563,     563,     5.9,     2.8,    25.6,    57.0,    66.2,    66.2,  510.0,  0.00541,      0,      0,       0,       0,       0,       0
total,        270223,     547,     547,     547,     6.5,     3.0,    31.3,    44.0,    66.3,    66.3,  511.0,  0.00540,      0,      0,       0,       0,       0,       0
total,        270784,     541,     541,     541,     6.1,     2.8,    25.4,    55.8,    63.4,    63.4,  512.0,  0.00539,      0,      0,       0,       0,       0,       0
total,        271344,     545,     545,     545,     6.5,     3.1,    30.6,    61.8,    68.4,    68.4,  513.0,  0.00538,      0,      0,       0,       0,       0,       0
total,        271828,     464,     464,     464,     8.0,     3.2,    42.1,    62.9,    82.9,    82.9,  514.1,  0.00538,      0,      0,       0,       0,       0,       0
total,        272453,     619,     619,     619,     5.5,     2.9,    18.5,    41.2,    49.5,    49.5,  515.1,  0.00538,      0,      0,       0,       0,       0,       0
total,        272958,     498,     498,     498,     6.3,     2.9,    30.0,    53.4,    65.2,    65.2,  516.1,  0.00537,      0,      0,       0,       0,       0,       0
total,        273463,     502,     502,     502,     6.6,     3.0,    24.1,    60.7,    67.6,    67.6,  517.1,  0.00536,      0,      0,       0,       0,       0,       0
total,        274009,     550,     550,     550,     7.1,     3.6,    29.5,    52.3,    64.2,    64.2,  518.1,  0.00535,      0,      0,       0,       0,       0,       0
total,        274616,     588,     588,     588,     5.8,     3.0,    25.9,    50.9,    64.2,    64.2,  519.1,  0.00534,      0,      0,       0,       0,       0,       0
total,        275101,     469,     469,     469,     8.1,     2.7,    27.6,   166.1,   181.4,   181.4,  520.2,  0.00533,      0,      0,       0,       0,       0,       0
total,        275638,     490,     490,     490,     7.5,     2.7,    33.2,    62.2,   188.4,   188.4,  521.3,  0.00532,      0,      0,       0,       0,       0,       0
total,        276168,     468,     468,     468,     8.2,     3.0,    38.7,    85.2,   150.0,   150.0,  522.4,  0.00531,      0,      0,       0,       0,       0,       0
total,        276660,     490,     490,     490,     7.6,     2.9,    36.7,   101.4,   113.7,   113.7,  523.4,  0.00530,      0,      0,       0,       0,       0,       0
total,        277217,     520,     520,     520,     6.4,     2.8,    24.3,    64.2,    87.3,    87.3,  524.5,  0.00529,      0,      0,       0,       0,       0,       0
total,        277706,     466,     466,     466,     7.5,     3.3,    37.2,    64.8,    69.8,    69.8,  525.5,  0.00529,      0,      0,       0,       0,       0,       0
total,        278208,     496,     496,     496,     7.2,     3.6,    32.2,    57.0,    68.3,    68.3,  526.5,  0.00528,      0,      0,       0,       0,       0,       0
total,        278708,     495,     495,     495,     6.7,     3.3,    26.0,    59.5,    85.5,    85.5,  527.6,  0.00527,      0,      0,       0,       0,       0,       0
total,        279171,     445,     445,     445,     7.6,     3.6,    34.5,    59.6,    77.5,    77.5,  528.6,  0.00527,      0,      0,       0,       0,       0,       0
total,        279677,     503,     503,     503,     7.0,     3.1,    34.0,    56.7,    94.8,    94.8,  529.6,  0.00526,      0,      0,       0,       0,       0,       0
total,        280275,     583,     583,     583,     5.4,     2.8,    19.6,    44.3,    68.3,    68.3,  530.6,  0.00526,      0,      0,       0,       0,       0,       0
